"Saving payment method failed","Не вдалося зберегти спосіб оплати"
"Email is invalid","Електронну адресу вказано невірно"
"Please provide your email address.","Будь ласка, вкажіть свою адресу електронної пошти."
"Please provide a phone number.","Будь ласка, вкажіть номер телефону"
"Please select option for payment method", "Будь ласка, виберіть спосіб оплати"
"Address update failed. Please try again.","Оновлення адреси не вдалося. Будь ласка, спробуйте ще раз."
"Email address update failed. Please try again.","Оновлення адреси електронної пошти не вдалося. Будь ласка, спробуйте ще раз."
"Your checkout details are not valid. Please verify your details.","Ваші дані для оформлення замовлення не дійсні. Будь ласка, перевірте свої дані."
"Something went wrong","Щось пішло не так"
"Shipping address update failed. Please try again","Оновлення адреси доставки не вдалося. Будь ласка, спробуйте ще раз"
"Something went wrong while updating shipping method","Щось пішло не так під час оновлення способу доставки"
